Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration_hours,Duration_minutes,Duration_total_mins
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,15:25:00,01:35,10h 10m,1,no info,15147,10,10,610
Vistara,2019-06-12,Banglore,Delhi,BLR → DEL,07:00:00,09:40,2h 40m,0,no info,4668,2,40,160
Jet Airways,2019-05-09,Delhi,Cochin,DEL → BOM → COK,07:05:00,19:00,11h 55m,1,no info,15554,11,55,715
SpiceJet,2019-04-09,Banglore,Delhi,BLR → DEL,05:55:00,08:35,2h 40m,0,no info,3971,2,40,160
Air India,2019-05-03,Mumbai,Hyderabad,BOM → HYD,15:00:00,16:25,1h 25m,0,no info,3100,1,25,85
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,10:05,14h 5m,1,in-flight meal not included,9663,14,5,845
Air India,2019-03-01,Delhi,Cochin,DEL → BOM → COK,23:00:00,19:15,20h 15m,1,no info,27430,20,15,1215
IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,05:15:00,07:40,2h 25m,0,no info,3540,2,25,145
Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00:00,11:10,23h 10m,2,no info,10676,23,10,1390
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,14:05:00,08:15,18h 10m,1,no info,13044,18,10,1090
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,12:00,16h,1,no info,14388,16,0,960
IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,04:00:00,06:50,2h 50m,0,no info,3943,2,50,170
IndiGo,2019-06-03,Chennai,Kolkata,MAA → CCU,14:45:00,17:05,2h 20m,0,no info,3597,2,20,140
Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,11:50:00,19:50,8h,1,no info,5932,8,0,480
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,11:30:00,04:25,16h 55m,1,in-flight meal not included,10262,16,55,1015
Vistara,2019-05-12,Delhi,Cochin,DEL → COK,14:40:00,17:50,3h 10m,0,no info,6216,3,10,190
IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,20:25:00,23:10,2h 45m,0,no info,4804,2,45,165
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,11:30:00,01:30,14h,1,no info,14067,14,0,840
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,19:10:00,19:00,23h 50m,2,no info,15129,23,50,1430
Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,06:45:00,04:25,21h 40m,2,no info,13376,21,40,1300
Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,22:00:00,19:15,21h 15m,2,no info,10441,21,15,1275
Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,06:00:00,08:45,2h 45m,0,in-flight meal not included,4030,2,45,165
Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,08:00:00,18:50,10h 50m,1,no info,17024,10,50,650
Multiple carriers,2019-04-09,Delhi,Cochin,DEL → BOM → COK,17:30:00,01:30,8h,1,no info,13017,8,0,480
GoAir,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,23:30:00,07:45,8h 15m,1,no info,6686,8,15,495
IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,02:00:00,07:25,5h 25m,1,no info,5636,5,25,325
IndiGo,2019-06-09,Delhi,Cochin,DEL → HYD → COK,07:35:00,16:10,8h 35m,1,no info,6442,8,35,515
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,13:05:00,00:55,11h 50m,1,no info,9486,11,50,710
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,23:35,27h 35m,1,in-flight meal not included,10844,27,35,1655
Jet Airways,2019-06-03,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00:00,04:25,8h 25m,2,in-flight meal not included,15318,8,25,505
Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,12:30:00,09:25,20h 55m,1,no info,5117,20,55,1255
IndiGo,2019-06-24,Delhi,Cochin,DEL → BLR → COK,15:10:00,20:00,4h 50m,1,no info,6147,4,50,290
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,12:50:00,21:00,8h 10m,1,no info,7005,8,10,490
SpiceJet,2019-04-03,Kolkata,Banglore,CCU → BLR,22:20:00,00:40,2h 20m,0,no info,3873,2,20,140
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25:00,18:50,24h 25m,2,in-flight meal not included,9270,24,25,1465
GoAir,2019-06-27,Banglore,Delhi,BLR → DEL,11:40:00,14:30,2h 50m,0,no info,3898,2,50,170
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,08:25:00,20:45,12h 20m,1,no info,14781,12,20,740
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,08:15,12h 15m,1,in-flight meal not included,8586,12,15,735
Air India,2019-05-09,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20:00,07:55,23h 35m,2,no info,10697,23,35,1415
Jet Airways,2019-06-27,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00:00,12:35,16h 35m,2,no info,14300,16,35,995
IndiGo,2019-03-03,Banglore,New Delhi,BLR → DEL,18:55:00,21:45,2h 50m,0,no info,8855,2,50,170
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,16:30:00,18:15,25h 45m,1,in-flight meal not included,10844,25,45,1545
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,02:15:00,04:25,26h 10m,1,no info,17024,26,10,1570
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,14:25,28h 50m,1,in-flight meal not included,9314,28,50,1730
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,00:40:00,03:25,2h 45m,0,no info,4777,2,45,165
Air India,2019-06-09,Kolkata,Banglore,CCU → BBI → BLR,12:00:00,13:15,25h 15m,1,no info,7662,25,15,1515
IndiGo,2019-05-09,Delhi,Cochin,DEL → HYD → COK,06:50:00,16:10,9h 20m,1,no info,6442,9,20,560
SpiceJet,2019-06-12,Delhi,Cochin,DEL → PNQ → COK,08:45:00,13:15,4h 30m,1,no info,5264,4,30,270
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,13:00:00,04:25,15h 25m,1,in-flight meal not included,12898,15,25,925
Air India,2019-03-03,Mumbai,Hyderabad,BOM → HYD,13:55:00,15:25,1h 30m,0,no info,6092,1,30,90
SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,05:55:00,08:35,2h 40m,0,no info,3311,2,40,160
Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,19:15:00,04:25,9h 10m,1,in-flight meal not included,6540,9,10,550
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,01:30:00,04:15,2h 45m,0,no info,3419,2,45,165
Jet Airways,2019-04-03,Delhi,Cochin,DEL → BOM → COK,14:00:00,12:35,22h 35m,1,in-flight meal not included,5177,22,35,1355
Air India,2019-04-18,Delhi,Cochin,DEL → COK,18:05:00,21:10,3h 5m,0,no info,8246,3,5,185
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,21:05,11h 30m,1,no info,14676,11,30,690
Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11:30:00,21:00,9h 30m,1,no info,13587,9,30,570
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,21:10:00,09:20,12h 10m,1,in-flight meal not included,9663,12,10,730
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,16:30:00,10:05,17h 35m,1,no info,13044,17,35,1055
IndiGo,2019-04-03,Delhi,Cochin,DEL → BOM → COK,20:25:00,01:30,5h 5m,1,no info,5073,5,5,305
Vistara,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,17:00:00,18:50,25h 50m,1,no info,9345,25,50,1550
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,14:05:00,10:05,20h,1,in-flight meal not included,9663,20,0,1200
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,08:00:00,21:00,13h,1,no info,14277,13,0,780
Jet Airways,2019-06-01,Delhi,Cochin,DEL → BOM → COK,10:00:00,04:25,18h 25m,1,in-flight meal not included,10262,18,25,1105
Jet Airways,2019-03-27,Mumbai,Hyderabad,BOM → HYD,19:35:00,21:05,1h 30m,0,no info,5678,1,30,90
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,16:00:00,01:30,9h 30m,1,no info,13727,9,30,570
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00:00,12:00,16h,1,in-flight meal not included,9663,16,0,960
IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,14:45:00,17:05,2h 20m,0,no info,3858,2,20,140
SpiceJet,2019-06-24,Delhi,Cochin,DEL → PNQ → COK,08:45:00,13:15,4h 30m,1,no info,4812,4,30,270
IndiGo,2019-06-27,Delhi,Cochin,DEL → LKO → COK,21:50:00,03:35,5h 45m,1,no info,5775,5,45,345
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,09:35:00,09:45,24h 10m,1,in-flight meal not included,10539,24,10,1450
IndiGo,2019-06-03,Kolkata,Banglore,CCU → BLR,15:30:00,18:05,2h 35m,0,no info,4804,2,35,155
Air Asia,2019-06-12,Banglore,Delhi,BLR → DEL,11:10:00,13:55,2h 45m,0,no info,3383,2,45,165
IndiGo,2019-03-03,Banglore,New Delhi,BLR → HYD → DEL,12:10:00,17:05,4h 55m,1,no info,8738,4,55,295
Air India,2019-03-27,Delhi,Cochin,DEL → TRV → COK,05:15:00,06:50,25h 35m,1,no info,7165,25,35,1535
IndiGo,2019-06-24,Delhi,Cochin,DEL → HYD → COK,16:10:00,22:30,6h 20m,1,no info,6412,6,20,380
Jet Airways,2019-06-27,Banglore,Delhi,BLR → DEL,18:55:00,22:00,3h 5m,0,no info,8016,3,5,185
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,20:35:00,15:15,18h 40m,1,in-flight meal not included,11087,18,40,1120
SpiceJet,2019-06-27,Chennai,Kolkata,MAA → CCU,09:45:00,12:00,2h 15m,0,no check-in baggage included,3543,2,15,135
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,16:30:00,04:40,12h 10m,1,no info,12471,12,10,730
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,09:00:00,04:25,19h 25m,1,in-flight meal not included,10262,19,25,1165
Air India,2019-03-18,Banglore,New Delhi,BLR → DEL,13:20:00,16:10,2h 50m,0,no info,4441,2,50,170
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,07:05:00,15:30,8h 25m,1,no info,12537,8,25,505
GoAir,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,22:25:00,07:40,9h 15m,1,no info,10091,9,15,555
Air India,2019-06-03,Banglore,Delhi,BLR → DEL,21:05:00,23:55,2h 50m,0,no info,6961,2,50,170
IndiGo,2019-04-24,Delhi,Cochin,DEL → COK,05:35:00,08:50,3h 15m,0,no info,5013,3,15,195
Air India,2019-05-18,Delhi,Cochin,DEL → COK,05:10:00,08:00,2h 50m,0,no info,6934,2,50,170
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,06:40:00,19:00,12h 20m,1,no info,10877,12,20,740
Jet Airways,2019-04-18,Banglore,Delhi,BLR → DEL,15:15:00,18:10,2h 55m,0,no info,7229,2,55,175
IndiGo,2019-03-27,Delhi,Cochin,DEL → BOM → COK,16:00:00,01:35,9h 35m,1,no info,7048,9,35,575
Vistara,2019-06-27,Banglore,Delhi,BLR → DEL,17:00:00,19:35,2h 35m,0,no info,4878,2,35,155
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,14:05:00,23:35,9h 30m,1,in-flight meal not included,10844,9,30,570
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,23:05:00,04:25,29h 20m,2,no info,15129,29,20,1760
